bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hres1034-115,1034,hres,115,23,81,2018-07-26,1624,104
hres993-115,993,hres,115,183,56,2018-07-16,1449,239
hres239-115,239,hres,115,27,5,2017-04-03,347,32
hres408-115,408,hres,115,1,1,2017-06-26,608,2
hres260-115,260,hres,115,2,2,2017-04-06,1613,4
hres1169-115,1169,hres,115,4,2,2018-12-06,1728,6
hres112-115,112,hres,115,1,,2017-02-09,1543,1
hres671-115,671,hres,115,,31,2017-12-21,1560,31
hres887-115,887,hres,115,1,1,2018-05-10,1911,2
hres1040-115,1040,hres,115,,1,2018-07-31,1995,1
hres362-115,362,hres,115,13,,2017-05-25,1960,13
hres423-115,423,hres,115,55,,2017-06-29,1887,55
hres916-115,916,hres,115,2,4,2018-05-25,1468,6
hres437-115,437,hres,115,1,,2017-07-12,282,1
hres940-115,940,hres,115,1,,2018-06-13,1319,1
hres83-115,83,hres,115,1,,2017-02-02,1819,1
hres794-115,794,hres,115,,1,2018-03-21,1706,1
hres154-115,154,hres,115,20,,2017-02-27,1941,20
hres182-115,182,hres,115,1,,2017-03-08,1551,1
hres304-115,304,hres,115,3,1,2017-05-02,1588,4
hres46-115,46,hres,115,4,1,2017-01-12,1424,5
hres402-115,402,hres,115,3,,2017-06-22,1473,3
hres1091-115,1091,hres,115,4,7,2018-09-27,187,11
hres1087-115,1087,hres,115,1,4,2018-09-26,1980,5
hres915-115,915,hres,115,16,,2018-05-25,1297,16
hres699-115,699,hres,115,23,,2018-01-18,1629,23
hres62-115,62,hres,115,,1,2017-01-24,1913,1
hres129-115,129,hres,115,38,82,2017-02-15,608,120
hres277-115,277,hres,115,11,,2017-04-25,1797,11
hres774-115,774,hres,115,196,55,2018-03-13,1698,251
hres393-115,393,hres,115,35,4,2017-06-20,515,39
hres359-115,359,hres,115,38,20,2017-05-25,1683,58
hres438-115,438,hres,115,1,,2017-07-12,1344,1
hres864-115,864,hres,115,99,24,2018-04-27,1473,123
hres1086-115,1086,hres,115,1,,2018-09-26,1777,1
hres497-115,497,hres,115,10,,2017-08-18,705,10
hres137-115,137,hres,115,39,9,2017-02-16,1758,48
hres800-115,800,hres,115,1,,2018-03-22,233,1
hres559-115,559,hres,115,7,1,2017-10-05,1295,8
hres23-115,23,hres,115,115,,2017-01-05,934,115
hres1069-115,1069,hres,115,,1,2018-09-13,1812,1
hres660-115,660,hres,115,23,,2017-12-12,1801,23
hres26-115,26,hres,115,,4,2017-01-05,1936,4
hres566-115,566,hres,115,2,1,2017-10-10,1626,3
hres1078-115,1078,hres,115,8,,2018-09-25,1449,8
hres57-115,57,hres,115,14,23,2017-01-24,1520,37
hres980-115,980,hres,115,1,,2018-07-03,1631,1
hres618-115,618,hres,115,1,,2017-11-13,1839,1
hres214-115,214,hres,115,7,2,2017-03-21,1507,9
hres446-115,446,hres,115,42,,2017-07-14,1935,42
hres90-115,90,hres,115,41,,2017-02-03,1801,41
hres1118-115,1118,hres,115,1,,2018-10-05,1718,1
hres300-115,300,hres,115,4,,2017-05-01,1613,4
hres977-115,977,hres,115,6,2,2018-06-28,1615,8
hres943-115,943,hres,115,16,,2018-06-14,1319,16
hres111-115,111,hres,115,143,,2017-02-09,854,143
hres47-115,47,hres,115,1,3,2017-01-12,1751,4
hres371-115,371,hres,115,8,,2017-05-26,604,8
hres713-115,713,hres,115,24,,2018-01-25,1569,24
hres661-115,661,hres,115,21,8,2017-12-12,1801,29
hres1129-115,1129,hres,115,2,2,2018-10-19,1520,4
hres1032-115,1032,hres,115,17,,2018-07-25,1406,17
hres650-115,650,hres,115,2,2,2017-12-07,1468,4
hres651-115,651,hres,115,2,1,2017-12-07,347,3
hres744-115,744,hres,115,16,,2018-02-16,1835,16
hres435-115,435,hres,115,10,2,2017-07-11,1316,12
hres315-115,315,hres,115,6,4,2017-05-04,604,10
hres336-115,336,hres,115,22,13,2017-05-18,347,35
hres1038-115,1038,hres,115,1,1,2018-07-26,1835,2
hres310-115,310,hres,115,11,,2017-05-03,1846,11
hres1102-115,1102,hres,115,2,2,2018-09-28,1907,4
hres867-115,867,hres,115,2,,2018-05-01,1612,2
hres514-115,514,hres,115,4,1,2017-09-13,1579,5
hres297-115,297,hres,115,1,1,2017-04-28,1830,2
hres145-115,145,hres,115,6,6,2017-02-16,1995,12
hres117-115,117,hres,115,1,,2017-02-13,1671,1
hres1097-115,1097,hres,115,2,,2018-09-27,1981,2
hres193-115,193,hres,115,24,,2017-03-10,1946,24
hres38-115,38,hres,115,,12,2017-01-10,1671,12
hres1144-115,1144,hres,115,32,24,2018-11-13,187,56
hres987-115,987,hres,115,84,,2018-07-11,1385,84
hres998-115,998,hres,115,,6,2018-07-16,1612,6
hres419-115,419,hres,115,37,,2017-06-28,1542,37
hres675-115,675,hres,115,,8,2018-01-03,1877,8
hres1150-115,1150,hres,115,13,,2018-11-16,1919,13
hres343-115,343,hres,115,1,,2017-05-18,871,1
hres207-115,207,hres,115,6,1,2017-03-17,1728,7
hres403-115,403,hres,115,2,,2017-06-22,1473,2
hres868-115,868,hres,115,15,14,2018-05-03,1882,29
hres349-115,349,hres,115,16,11,2017-05-22,1977,27
hres870-115,870,hres,115,,8,2018-05-03,1720,8
hres1153-115,1153,hres,115,2,1,2018-11-16,640,3
hres270-115,270,hres,115,19,3,2017-04-06,1001,22
hres1133-115,1133,hres,115,1,3,2018-10-26,1907,4
hres976-115,976,hres,115,,4,2018-06-28,1078,4
hres187-115,187,hres,115,38,4,2017-03-09,1699,42
hres654-115,654,hres,115,,1,2017-12-07,1657,1
hres752-115,752,hres,115,7,1,2018-02-27,1078,8
hres296-115,296,hres,115,3,1,2017-04-28,1793,4
hres665-115,665,hres,115,6,,2017-12-15,1629,6
hres972-115,972,hres,115,100,,2018-06-28,1542,100
hres1065-115,1065,hres,115,4,4,2018-09-13,1579,8
hres1092-115,1092,hres,115,,4,2018-09-27,1502,4
hres61-115,61,hres,115,6,,2017-01-24,1908,6
hres1061-115,1061,hres,115,,1,2018-09-12,604,1
hres720-115,720,hres,115,79,15,2018-01-30,1605,94
hres858-115,858,hres,115,2,2,2018-04-27,1850,4
hres1120-115,1120,hres,115,3,3,2018-10-05,1626,6
hres852-115,852,hres,115,4,,2018-04-26,1791,4
hres490-115,490,hres,115,3,6,2017-07-28,284,9
hres293-115,293,hres,115,11,,2017-04-28,1801,11
hres803-115,803,hres,115,1,,2018-03-22,1651,1
hres808-115,808,hres,115,,1,2018-03-29,1832,1
hres722-115,722,hres,115,17,,2018-02-02,1007,17
hres845-115,845,hres,115,8,,2018-04-25,1850,8
hres576-115,576,hres,115,3,18,2017-10-23,1541,21
hres320-115,320,hres,115,17,7,2017-05-11,1495,24
hres874-115,874,hres,115,3,1,2018-05-07,640,4
hres68-115,68,hres,115,,3,2017-01-27,515,3
hres208-115,208,hres,115,1,1,2017-03-17,1799,2
hres599-115,599,hres,115,1,,2017-11-01,1942,1
hres1010-115,1010,hres,115,,3,2018-07-23,1872,3
hres72-115,72,hres,115,4,1,2017-01-30,1908,5
hres575-115,575,hres,115,6,,2017-10-19,1946,6
hres715-115,715,hres,115,46,1,2018-01-29,593,47
hres758-115,758,hres,115,7,,2018-02-27,693,7
hres959-115,959,hres,115,8,,2018-06-22,1857,8
hres283-115,283,hres,115,20,2,2017-04-26,1801,22
hres1119-115,1119,hres,115,,1,2018-10-05,1328,1
hres351-115,351,hres,115,65,20,2017-05-23,989,85
hres683-115,683,hres,115,23,3,2018-01-10,1751,26
hres113-115,113,hres,115,,1,2017-02-09,983,1
hres135-115,135,hres,115,4,27,2017-02-16,1882,31
hres76-115,76,hres,115,1,,2017-01-31,1461,1
hres1156-115,1156,hres,115,1,1,2018-11-20,1877,2
hres884-115,884,hres,115,1,3,2018-05-09,282,4
hres991-115,991,hres,115,1,2,2018-07-12,1564,3
hres979-115,979,hres,115,,1,2018-06-29,983,1
hres517-115,517,hres,115,6,,2017-09-13,1409,6
hres105-115,105,hres,115,56,,2017-02-07,854,56
hres1172-115,1172,hres,115,29,136,2018-12-10,1768,165
hres532-115,532,hres,115,,20,2017-09-25,1499,20
hres969-115,969,hres,115,2,1,2018-06-26,1967,3
hres256-115,256,hres,115,26,27,2017-04-06,1605,53
hres1115-115,1115,hres,115,5,4,2018-10-05,1804,9
hres530-115,530,hres,115,,2,2017-09-21,1751,2
hres812-115,812,hres,115,3,1,2018-04-10,1646,3
hres782-115,782,hres,115,15,1,2018-03-14,1613,16
hres332-115,332,hres,115,74,,2017-05-17,1319,74
hres422-115,422,hres,115,2,3,2017-06-29,347,5
hres63-115,63,hres,115,24,1,2017-01-24,1835,25
hres763-115,763,hres,115,30,81,2018-03-05,1544,111
hres955-115,955,hres,115,4,3,2018-06-20,1541,7
hres523-115,523,hres,115,51,,2017-09-14,1699,51
hres944-115,944,hres,115,3,5,2018-06-14,1995,8
hres1062-115,1062,hres,115,6,2,2018-09-12,1973,8
hres792-115,792,hres,115,3,1,2018-03-20,1049,4
hres746-115,746,hres,115,32,,2018-02-23,1867,32
hres1057-115,1057,hres,115,12,2,2018-09-07,688,14
hres906-115,906,hres,115,,2,2018-05-21,1799,2
hres921-115,921,hres,115,1,,2018-06-05,872,1
hres1116-115,1116,hres,115,2,1,2018-10-05,1409,3
hres255-115,255,hres,115,3,3,2017-04-06,1565,6
hres843-115,843,hres,115,1,2,2018-04-24,1995,3
hres196-115,196,hres,115,17,1,2017-03-13,1613,18
hres58-115,58,hres,115,21,9,2017-01-24,989,30
hres889-115,889,hres,115,12,,2018-05-10,604,12
hres1053-115,1053,hres,115,5,4,2018-09-06,1915,9
hres797-115,797,hres,115,4,2,2018-03-22,1889,6
hres973-115,973,hres,115,,1,2018-06-28,688,1
hres227-115,227,hres,115,1,,2017-03-23,1974,1
hres238-115,238,hres,115,3,8,2017-03-30,1503,11
hres809-115,809,hres,115,,2,2018-03-29,1507,2
hres503-115,503,hres,115,1,1,2017-09-06,1637,2
hres328-115,328,hres,115,1,1,2017-05-16,1991,2
hres859-115,859,hres,115,28,2,2018-04-27,282,30
hres406-115,406,hres,115,2,,2017-06-26,1667,2
hres640-115,640,hres,115,9,1,2017-12-01,1613,10
hres84-115,84,hres,115,16,2,2017-02-02,1904,18
hres1178-115,1178,hres,115,2,1,2018-12-11,1492,3
hres753-115,753,hres,115,2,,2018-02-27,1816,2
hres1122-115,1122,hres,115,29,2,2018-10-12,1390,31
hres134-115,134,hres,115,11,1,2017-02-16,1840,12
