,name,party,state,thomas_id,bioguide_id,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,first_congress,last_congress,gaps,num_congress_periods,93_signatures_received,93_signatures_given,94_signatures_received,94_signatures_given,95_signatures_received,95_signatures_given,96_signatures_received,96_signatures_given,97_signatures_received,97_signatures_given,98_signatures_received,98_signatures_given,99_signatures_received,99_signatures_given,100_signatures_received,100_signatures_given,101_signatures_received,101_signatures_given,102_signatures_received,102_signatures_given,103_signatures_received,103_signatures_given,104_signatures_received,104_signatures_given,105_signatures_received,105_signatures_given,106_signatures_received,106_signatures_given,107_signatures_received,107_signatures_given,108_signatures_received,108_signatures_given,109_signatures_received,109_signatures_given,110_signatures_received,110_signatures_given,111_signatures_received,111_signatures_given,112_signatures_received,112_signatures_given,113_signatures_received,113_signatures_given,114_signatures_received,114_signatures_given,115_signatures_received,115_signatures_given,AMOUNT,AMOUNT_normalized,115_signatures_received_normalized,115_signatures_given_normalized,in_congress_last_five_periods,importance,supported_D,supported_R,supported_OTHER
0,"Abdnor, James",Republican,SD,1.0,A000009,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,46.0,102.0,137.0,162.0,88.0,224.0,63.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
1,"Abercrombie, Neil",Democrat,HI,2.0,A000014,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,99,111,False,11,,,,,,,,,,,,,16.0,43.0,,,,,251.0,549.0,7.0,320.0,27.0,207.0,152.0,346.0,263.0,483.0,138.0,501.0,36.0,519.0,246.0,485.0,196.0,583.0,244.0,303.0,,,,,,,,,,,,,0.25,,0,0,0
2,"Abzug, Bella S.",Democrat,NY,3.0,A000018,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,639.0,496.0,795.0,633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
3,"Ackerman, Gary L.",Democrat,NY,4.0,A000022,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,98,112,False,15,,,,,,,,,,,94.0,581.0,418.0,565.0,533.0,715.0,411.0,786.0,158.0,621.0,360.0,466.0,316.0,450.0,480.0,499.0,245.0,337.0,411.0,314.0,326.0,361.0,366.0,402.0,698.0,363.0,268.0,344.0,118.0,250.0,,,,,,,,,,,0.5,,0,0,0
4,"Adams, Brock",Democrat,WA,5.0,A000031,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,83.0,103.0,6.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
5,"Addabbo, Joseph P.",Democrat,NY,6.0,A000052,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,99,False,7,89.0,232.0,256.0,180.0,242.0,187.0,1002.0,298.0,639.0,365.0,618.0,462.0,613.0,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
6,"Akaka, Daniel K.",Democrat,HI,7.0,A000069,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,95,101,False,7,,,,,99.0,276.0,151.0,216.0,60.0,237.0,350.0,361.0,235.0,361.0,69.0,409.0,1.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
7,"Albert, Carl",Democrat,OK,8.0,A000073,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
8,"Albosta, Donald J.",Democrat,MI,9.0,A000076,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,98,False,3,,,,,,,383.0,262.0,689.0,237.0,230.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
9,"Alexander, Bill",Democrat,AR,10.0,A000103,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,95.0,133.0,9.0,68.0,76.0,62.0,93.0,89.0,146.0,127.0,59.0,167.0,57.0,175.0,119.0,124.0,263.0,170.0,4.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
10,"Allard, Wayne",Republican,CO,11.0,A000109,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,102,104,False,3,,,,,,,,,,,,,,,,,,,12.0,231.0,332.0,160.0,402.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
11,"Allen, Clifford R.",Democrat,TN,12.0,A000118,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,95,False,2,,,94.0,31.0,73.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
12,"Allen, George",Republican,VA,13.0,A000121,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,102,102,False,1,,,,,,,,,,,,,,,,,,,117.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
13,"Ambro, Jerome A.",Democrat,NY,14.0,A000170,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,96,False,3,,,26.0,97.0,0.0,91.0,42.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
14,"Ammerman, Joseph S.",Democrat,PA,15.0,A000177,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,95,95,False,1,,,,,36.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
15,"Anderson, Glenn M.",Democrat,CA,16.0,A000189,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,464.0,149.0,425.0,233.0,1192.0,149.0,1125.0,134.0,1004.0,170.0,983.0,263.0,473.0,299.0,525.0,333.0,1035.0,257.0,417.0,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
16,"Anderson, John B.",Republican,IL,17.0,A000195,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,422.0,145.0,1095.0,122.0,871.0,103.0,198.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
17,"Andrews, Ike",Democrat,NC,18.0,A000207,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,98,False,6,167.0,30.0,2.0,58.0,1.0,38.0,48.0,75.0,250.0,152.0,628.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
18,"Andrews, Mark",Republican,ND,19.0,A000208,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,0.0,73.0,8.0,150.0,86.0,143.0,21.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
19,"Andrews, Michael",Democrat,TX,20.0,A000209,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,98,103,False,6,,,,,,,,,,,130.0,282.0,108.0,298.0,402.0,215.0,639.0,205.0,443.0,142.0,503.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
20,"Andrews, Robert E.",Democrat,NJ,21.0,A000210,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,102,113,False,12,,,,,,,,,,,,,,,,,,,52.0,282.0,534.0,350.0,129.0,191.0,224.0,244.0,285.0,378.0,435.0,411.0,409.0,513.0,279.0,446.0,384.0,318.0,137.0,276.0,109.0,252.0,144.0,191.0,,,,,,,,,0.75,,0,0,0
21,"Andrews, Thomas H.",Democrat,ME,22.0,A000211,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,102,103,False,2,,,,,,,,,,,,,,,,,,,244.0,336.0,27.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
22,"Annunzio, Frank",Democrat,IL,23.0,A000212,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,119.0,89.0,207.0,86.0,248.0,97.0,479.0,100.0,857.0,202.0,522.0,245.0,837.0,191.0,178.0,189.0,672.0,280.0,266.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
23,"Anthony, Beryl, Jr.",Democrat,AR,24.0,A000213,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,96,102,False,7,,,,,,,0.0,115.0,7.0,194.0,358.0,219.0,376.0,242.0,53.0,153.0,205.0,156.0,287.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
24,"Applegate, Douglas",Democrat,OH,25.0,A000214,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,95,103,False,9,,,,,90.0,94.0,105.0,105.0,106.0,146.0,481.0,249.0,430.0,327.0,541.0,323.0,948.0,385.0,581.0,301.0,280.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
25,"Archer, Bill",Republican,TX,26.0,A000215,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,93,106,False,14,93.0,108.0,335.0,99.0,19.0,114.0,22.0,149.0,248.0,163.0,592.0,180.0,551.0,133.0,360.0,158.0,859.0,153.0,316.0,146.0,260.0,169.0,647.0,66.0,500.0,76.0,153.0,47.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
26,"Arends, Leslie C.",Republican,IL,27.0,A000216,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
27,"Armey, Richard K.",Republican,TX,28.0,A000217,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,99,107,False,9,,,,,,,,,,,,,263.0,222.0,509.0,263.0,478.0,317.0,372.0,313.0,471.0,318.0,11.0,78.0,64.0,112.0,189.0,187.0,730.0,150.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
28,"Armstrong, William L.",Republican,CO,29.0,A000219,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,95,False,3,5.0,28.0,62.0,36.0,62.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
29,"Ashbrook, Jean",Republican,OH,30.0,A000220,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97,97,False,1,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
30,"Ashbrook, John M.",Republican,OH,31.0,A000221,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,97,False,5,77.0,33.0,117.0,36.0,142.0,56.0,142.0,97.0,183.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
